latitude,longitude,popularity,surcharge,weights
40.7915093,-73.974213,1822.0,1.41666666667,0.00148040854328
40.792771,-73.9732956,1207.0,1.45714285714,0.00148051896476
40.7921407,-73.9737576,1020.0,1.38,0.243627813635
40.7908684,-73.9726862,1508.0,1.41666666667,0.000362130766026
40.792771,-73.9732956,1207.0,1.45714285714,0.00148051896476
40.7927051,-73.9750902,838.0,1.36,0.000525291133499
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7920701,-73.9755518,635.0,1.1,0.000389026482762
40.791438,-73.9740374,1146.0,1.43333333333,0.00146875249315
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.791438,-73.9740374,1146.0,1.43333333333,0.00146875249315
40.7927051,-73.9750902,838.0,1.36,0.000525291133499
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.790806,-73.9744963,1002.0,1.425,0.000370773144748
40.7933947,-73.9728492,761.0,1.32,0.000377181228093
40.791438,-73.9740374,1146.0,1.43333333333,0.00146875249315
40.7915093,-73.974213,1822.0,1.41666666667,0.00148040854328
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.7927051,-73.9750902,838.0,1.36,0.000525291133499
40.7933183,-73.9726638,678.0,1.4,0.000375530126806
40.7908418,-73.9745927,640.0,1.4,0.000370448496355
40.7908418,-73.9745927,640.0,1.4,0.000370448496355
40.7921407,-73.9737576,1020.0,1.38,0.243627813635
40.7920664,-73.9735738,378.0,1.23333333333,0.075005211815
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.792771,-73.9732956,1207.0,1.45714285714,0.00148051896476
40.7921407,-73.9737576,1020.0,1.38,0.243627813635
40.7908684,-73.9726862,1508.0,1.41666666667,0.000362130766026
40.7927051,-73.9750902,838.0,1.36,0.000525291133499
40.7908684,-73.9726862,1508.0,1.41666666667,0.000362130766026
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7927462,-73.9732356,439.0,1.3,0.00148803584531
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.7914959,-73.9722281,746.0,1.375,0.000479326900372
40.7914959,-73.9722281,746.0,1.375,0.000479326900372
40.7915093,-73.974213,1822.0,1.41666666667,0.00148040854328
40.7914959,-73.9722281,746.0,1.375,0.000479326900372
40.7933947,-73.9728492,761.0,1.32,0.000377181228093
40.7908684,-73.9726862,1508.0,1.41666666667,0.000362130766026
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.792771,-73.9732956,1207.0,1.45714285714,0.00148051896476
40.7908418,-73.9745927,640.0,1.4,0.000370448496355
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7933183,-73.9726638,678.0,1.4,0.000375530126806
40.7933315,-73.9746353,1711.0,1.45714285714,0.000387591573333
40.7927051,-73.9750902,838.0,1.36,0.000525291133499
40.7915093,-73.974213,1822.0,1.41666666667,0.00148040854328
40.7933634,-73.9727731,330.0,1.2,0.000377612486233
40.7920664,-73.9735738,378.0,1.23333333333,0.075005211815
40.792701,-73.9731263,849.0,1.16666666667,0.00146282184658
40.792771,-73.9732956,1207.0,1.45714285714,0.00148051896476
40.7908742,-73.9746797,1834.0,1.45714285714,0.000368192777432
40.7914816,-73.9741447,691.0,1.1,0.00149139040478
40.790806,-73.9744963,1002.0,1.425,0.000370773144748
40.7933947,-73.9728492,761.0,1.32,0.000377181228093
40.7933183,-73.9726638,678.0,1.4,0.000375530126806
40.7927462,-73.9732356,439.0,1.3,0.00148803584531
40.791438,-73.9740374,1146.0,1.43333333333,0.00146875249315
40.791438,-73.9740374,1146.0,1.43333333333,0.00146875249315
40.7920664,-73.9735738,378.0,1.23333333333,0.075005211815
40.790806,-73.9744963,1002.0,1.425,0.000370773144748
40.7933183,-73.9726638,678.0,1.4,0.000375530126806
40.792701,-73.9731263,849.0,1.16666666667,0.00146282184658
